Product Id, Sku, Name, Description, Short Description, Manufacturer, Create At, Updated At, Price, Meta Title
91396,"TAR-4111141-01-17/18 (6-9 months)","Coral Socks -17/18 (6-9 months)","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolate</a> coral socks feature polkadot turned down ankles with a scalloped edge, branding on the sole and bow detailing on the reverse ankle. In addition, there is also a mother of pearl branded tag on the reverse. Made from 80% cotton, 19% polyamine and 1% elastane. Machine wash at 30 degrees.</p>
<p>These bright and vibrant socks from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolate</strong></a> are perfect for your little girl's spring/summer wardrobe with the colouring being right on trend for this season. The adorable girly additions make these a simple must have that your angel is bound to fall in love with. If you are a fan of this item, you may also be interested in <a href=""/designers/b-designers/burberry/socks-with-a-nova-square.html""><strong>Burberry Socks with a Nova Square </strong></a>and <a href=""/designers/b-designers/burberry/pink-socks-with-bow.html""><strong>Burberry Pink Socks with Bow</strong></a>.</p>",TAR-4111141-01,31,"2012-02-01 08:55:28","2012-02-01 08:55:28",21.0000,"Tartine et Chocolate Babies Coral Socks "
91397,"TAR-4111141-01-19/20 (9-12 months)","Coral Socks -19/20 (9-12 months)","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolate</a> coral socks feature polkadot turned down ankles with a scalloped edge, branding on the sole and bow detailing on the reverse ankle. In addition, there is also a mother of pearl branded tag on the reverse. Made from 80% cotton, 19% polyamine and 1% elastane. Machine wash at 30 degrees.</p>
<p>These bright and vibrant socks from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolate</strong></a> are perfect for your little girl's spring/summer wardrobe with the colouring being right on trend for this season. The adorable girly additions make these a simple must have that your angel is bound to fall in love with. If you are a fan of this item, you may also be interested in <a href=""/designers/b-designers/burberry/socks-with-a-nova-square.html""><strong>Burberry Socks with a Nova Square </strong></a>and <a href=""/designers/b-designers/burberry/pink-socks-with-bow.html""><strong>Burberry Pink Socks with Bow</strong></a>.</p>",TAR-4111141-01,31,"2012-02-01 08:55:51","2012-02-01 08:55:51",21.0000,"Tartine et Chocolate Babies Coral Socks "
91398,"TAR-4111141-01-21/22 (18 months)","Coral Socks -21/22 (18 months)","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolate</a> coral socks feature polkadot turned down ankles with a scalloped edge, branding on the sole and bow detailing on the reverse ankle. In addition, there is also a mother of pearl branded tag on the reverse. Made from 80% cotton, 19% polyamine and 1% elastane. Machine wash at 30 degrees.</p>
<p>These bright and vibrant socks from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolate</strong></a> are perfect for your little girl's spring/summer wardrobe with the colouring being right on trend for this season. The adorable girly additions make these a simple must have that your angel is bound to fall in love with. If you are a fan of this item, you may also be interested in <a href=""/designers/b-designers/burberry/socks-with-a-nova-square.html""><strong>Burberry Socks with a Nova Square </strong></a>and <a href=""/designers/b-designers/burberry/pink-socks-with-bow.html""><strong>Burberry Pink Socks with Bow</strong></a>.</p>",TAR-4111141-01,31,"2012-02-01 08:56:11","2012-02-01 08:56:11",21.0000,"Tartine et Chocolate Babies Coral Socks "
91399,"GALL4131034-02-4 years","White Tee With Pink Gazette Print-4 years","<p><a href=""/designers/j-designers/john-galliano.html"" target=""_self"">John Galliano</a> white tee with pink gazette print, features a crew neckline, short sleeves with an all over neon pink signature gazette print. Made from 95% Cotton and 5% Elastane, machine wash at 30 degrees.</p>
<p>This cool tee from <a href=""/designers/j-designers/john-galliano.html"" target=""_self""><strong>John Galliano</strong></a> is perfect for you designer darling. The iconic gazette print gives the simple tee a designer makeover and will have her at the front of the fashion pack. Team with the<a href=""/girls/products/trousers-shorts/denim-shorts-with-turn-ups.html"" target=""_self""><strong> Diesel Denim With Turn Ups</strong></a> and the<a href=""/shoes/products/girls/studded-face-high-tops-in-pink.html"" target=""_self""><strong> Ash Studded 'Face' High Tops In Pink</strong></a> for an urban cool look.</p>",GALL4131034-02,61,"2012-02-01 08:59:08","2012-02-01 08:59:08",46.0000,"John Galliano Girls White Tee With Pink Gazette Print"
91400,"GALL4131034-02-6  years","White Tee With Pink Gazette Print-6  years","<p><a href=""/designers/j-designers/john-galliano.html"" target=""_self"">John Galliano</a> white tee with pink gazette print, features a crew neckline, short sleeves with an all over neon pink signature gazette print. Made from 95% Cotton and 5% Elastane, machine wash at 30 degrees.</p>
<p>This cool tee from <a href=""/designers/j-designers/john-galliano.html"" target=""_self""><strong>John Galliano</strong></a> is perfect for you designer darling. The iconic gazette print gives the simple tee a designer makeover and will have her at the front of the fashion pack. Team with the<a href=""/girls/products/trousers-shorts/denim-shorts-with-turn-ups.html"" target=""_self""><strong> Diesel Denim With Turn Ups</strong></a> and the<a href=""/shoes/products/girls/studded-face-high-tops-in-pink.html"" target=""_self""><strong> Ash Studded 'Face' High Tops In Pink</strong></a> for an urban cool look.</p>",GALL4131034-02,61,"2012-02-01 08:59:22","2012-02-01 08:59:22",46.0000,"John Galliano Girls White Tee With Pink Gazette Print"
91401,"GALL4131034-02-8 years","White Tee With Pink Gazette Print-8 years","<p><a href=""/designers/j-designers/john-galliano.html"" target=""_self"">John Galliano</a> white tee with pink gazette print, features a crew neckline, short sleeves with an all over neon pink signature gazette print. Made from 95% Cotton and 5% Elastane, machine wash at 30 degrees.</p>
<p>This cool tee from <a href=""/designers/j-designers/john-galliano.html"" target=""_self""><strong>John Galliano</strong></a> is perfect for you designer darling. The iconic gazette print gives the simple tee a designer makeover and will have her at the front of the fashion pack. Team with the<a href=""/girls/products/trousers-shorts/denim-shorts-with-turn-ups.html"" target=""_self""><strong> Diesel Denim With Turn Ups</strong></a> and the<a href=""/shoes/products/girls/studded-face-high-tops-in-pink.html"" target=""_self""><strong> Ash Studded 'Face' High Tops In Pink</strong></a> for an urban cool look.</p>",GALL4131034-02,61,"2012-02-01 08:59:38","2012-02-01 08:59:38",46.0000,"John Galliano Girls White Tee With Pink Gazette Print"
91402,"GALL4131034-02-10 years","White Tee With Pink Gazette Print-10 years","<p><a href=""/designers/j-designers/john-galliano.html"" target=""_self"">John Galliano</a> white tee with pink gazette print, features a crew neckline, short sleeves with an all over neon pink signature gazette print. Made from 95% Cotton and 5% Elastane, machine wash at 30 degrees.</p>
<p>This cool tee from <a href=""/designers/j-designers/john-galliano.html"" target=""_self""><strong>John Galliano</strong></a> is perfect for you designer darling. The iconic gazette print gives the simple tee a designer makeover and will have her at the front of the fashion pack. Team with the<a href=""/girls/products/trousers-shorts/denim-shorts-with-turn-ups.html"" target=""_self""><strong> Diesel Denim With Turn Ups</strong></a> and the<a href=""/shoes/products/girls/studded-face-high-tops-in-pink.html"" target=""_self""><strong> Ash Studded 'Face' High Tops In Pink</strong></a> for an urban cool look.</p>",GALL4131034-02,61,"2012-02-01 08:59:53","2012-02-01 08:59:53",46.0000,"John Galliano Girls White Tee With Pink Gazette Print"
91403,"GALL4131034-02-12 years","White Tee With Pink Gazette Print-12 years","<p><a href=""/designers/j-designers/john-galliano.html"" target=""_self"">John Galliano</a> white tee with pink gazette print, features a crew neckline, short sleeves with an all over neon pink signature gazette print. Made from 95% Cotton and 5% Elastane, machine wash at 30 degrees.</p>
<p>This cool tee from <a href=""/designers/j-designers/john-galliano.html"" target=""_self""><strong>John Galliano</strong></a> is perfect for you designer darling. The iconic gazette print gives the simple tee a designer makeover and will have her at the front of the fashion pack. Team with the<a href=""/girls/products/trousers-shorts/denim-shorts-with-turn-ups.html"" target=""_self""><strong> Diesel Denim With Turn Ups</strong></a> and the<a href=""/shoes/products/girls/studded-face-high-tops-in-pink.html"" target=""_self""><strong> Ash Studded 'Face' High Tops In Pink</strong></a> for an urban cool look.</p>",GALL4131034-02,61,"2012-02-01 09:00:09","2012-02-01 09:00:09",46.0000,"John Galliano Girls White Tee With Pink Gazette Print"
91405,GALL4131034-05,"'Make Up, Hair Style and Dressing' tee","<p><a href=""/designers/j-designers/john-galliano.html"" target=""_self"">John Galliano</a> 'Make Up, Hair Style and Dressing' tee in white, features a crew  neckline, pleated cap sleeves, an old fashion camera printed at the chest with polaroid fashion images, gold branding and text printed below and a pleated frill  trim hem. Made from 95% Modal and 5% Elastane, machine wash at 30  degrees.</p>
<p>This cute tee from <a href=""/designers/j-designers/john-galliano.html"" target=""_self""><strong>John Galliano</strong></a> is perfect for aspiring photographers and models alike. Whichever end of the lens she prefers she is sure to fall in love with the feminine frills and fabulous runway pictures on this top. Team with the<a href=""/shoes/products/girls/studded-face-high-tops-in-pink.html"" target=""_self""><strong> Ash Studded 'Face' High Tops In Pink</strong></a> and the <a href=""/designers/l-designers/levis/skinny-indigo-jeans-with-zip-detail.html"" target=""_self""><strong>Levi's Faded Skinny Anna Jeans</strong></a> for a casual look.<br /><br /></p>",GALL4131034-05,61,"2012-02-01 09:03:08","2012-02-02 12:05:56",62.0000,"John Galliano Girls 'Make Up, Hair Style and Dressing' tee"
91406,TAR-4110206-04,"Coral Cross Strap Dress","<p><a href=""/designers/t-designers/tartine-et-chocolat.html"">Tartine et Chocolate</a> coral dress features a scoop neck, no sleeves, cross straps on reverse, an elasticated waistband, and bow detailing along the waist on front and reverse. Made from 100% cotton, machine wash at 30 degrees.</p>
<p>This stunning dress from <a href=""/designers/t-designers/tartine-et-chocolat.html""><strong>Tartine et Chocolate</strong></a> is the ultimate item in feminine daytime glamour. With girly additions, such as the cross straps and bow detailing, it makes it impossible not to love. Let your little girl stand out this season, and let this gorgeous dress be the one that does it. To complete the look, team with <a href=""/designers/d-designers/baby-dior-kids/white-tights.html""><strong>Dior White Tights</strong></a> and <a href=""/babies/products/cardigans-sweaters/cream-bolero-cardigan.html""><strong>Mayoral Cream Bolero Cardigan</strong></a>.</p>",TAR-4110206-04,31,"2012-02-01 09:08:57","2012-02-02 13:31:29",69.0000,"Tartine et Chocolate Babies Coral Cross Strap Dress"
